what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1346456015494
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.LogCatView",1346456015543
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1346456015555
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346456037021
opened,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1346456039383
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1346456039475
activated,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1346456039645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456046927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456063196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346456070520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346456072550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456077675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456083695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1346456085252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346456098149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346456099546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1346456114690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346456120840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346456122643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1346456137106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1346456140874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346456143475
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346456196040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456206064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456302926
activated,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1346456303046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456307020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456310896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456317934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456360394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456361516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456369648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346456372541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346488712969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346488716368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346515065853
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346515074294
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1346515084236
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1346515084260
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1346515084260
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1346515084261
